अ ə
अँड əM’ɖə
अँडम əM’ɖəmə
अँण्ड əM’ɳɖə
अँण्डी əM’ɳɖi
अँथनी əM’t̪ʰəni
अँब्युलन्स əM’bjulənsə
अं ə̃
अंक ə̃kə
अंका ə̃ka
अंकांत ə̃kãt̪ə
अंकांतली ə̃kãt̪əli
अंकांतलें ə̃kãt̪əlẽ
अंकांतलो ə̃kãt̪əlo
अंकान ə̃kanə
अंकी ə̃ki
अंकुश ə̃kuʃə
अंकूश ə̃kuʃə
अंकोला ə̃kola
अंकोल्या ə̃kolja
अंगरक्षकूय ə̃gərəkʂəkujə
अंजदीप ə̃dʒəd̪ipə
अंजन ə̃dʒənə
अंजनीबाई ə̃dʒənibai:
अंजय्या ə̃dʒəjja
अंजली ə̃dʒəli
अंजादिपा ə̃dʒad̪ipa
अंजार ə̃dʒarə
अंजुणे ə̃dʒuɳe
अंजुणें ə̃dʒuɳẽ
अंजू ə̃dʒu
अंटूंच्या ə̃ʈũtʃja
अंडप ə̃ɖəpə
अंडरप्ले ə̃ɖərəple
अंडरवल्ड ə̃ɖərəʋəlɖə
अंत ə̃t̪ə
अंतपार ə̃t̪əparə
अंतर ə̃t̪ərə
अंतरंग ə̃t̪ərə̃gə
अंतरंगाचो ə̃t̪ərə̃gatʃo
अंतरआयामी ə̃t̪ərəajami
अंतरयामी ə̃t̪ərəjami
अंतरराष्ट्रीय ə̃t̪ərəraʂʈrijə
अंतरली ə̃t̪ərəli
अंतरले ə̃t̪ərəle
अंतरलो ə̃t̪ərəlo
अंतराचेर ə̃t̪əratʃerə
अंतराचेरच ə̃t̪əratʃerətʃə
अंतरान ə̃t̪əranə
अंतरार ə̃t̪ərarə
अंतराळ ə̃t̪əraɭə
अंतराळवीरांगना ə̃t̪əraɭəʋirãgəna
अंतराळांत ə̃t̪əraɭãt̪ə
अंतराळांतली ə̃t̪əraɭãt̪əli
अंतराळांतलो ə̃t̪əraɭãt̪əlo
अंतराळांतल्यान ə̃t̪əraɭãt̪əljanə
अंतराळाची ə̃t̪əraɭatʃi
अंतराळाचे ə̃t̪əraɭatʃe
अंतरावेल्यान ə̃t̪əraʋeljanə
अंतरिल्लो ə̃t̪ərillo
अंतरिल्ल्या ə̃t̪ərillja
अंतरीची ə̃t̪əritʃi
अंतर्गत ə̃t̪ərgət̪ə
अंतर्ज्ञान ə̃t̪ərdʒɲanə
अंतर्नाद ə̃t̪ərnad̪ə
अंतर्भागांतल्या ə̃t̪ərbʱagãt̪əlja
अंतर्मनाचो ə̃t̪ərmənatʃo
अंतर्मनान ə̃t̪ərmənanə
अंतर्मुख ə̃t̪ərmukʰə
अंतर्मूख ə̃t̪ərmukʰə
अंतर्वस्त्रां ə̃t̪ərʋəst̪rã
अंतर्वस्त्रांवरी ə̃t̪ərʋəst̪rãʋəri
अंतर्विरोध ə̃t̪ərʋirod̪ʰə
अंतर्विरोधां ə̃t̪ərʋirod̪ʰã
अंतर्विरोधांचो ə̃t̪ərʋirod̪ʰãtʃo
अंतस्करणां ə̃t̪əskərəɳã
अंतस्कर्णांत ə̃t̪əskərɳãt̪ə
अंता ə̃t̪a
अंताचो ə̃t̪atʃo
अंतान ə̃t̪anə
अंती ə̃t̪i
अंतीम ə̃t̪imə
अंतोनियो ə̃t̪onijo
अंत्रुज ə̃t̪rudʒə
अंदमान ə̃d̪əmanə
अंदरूनी ə̃d̪əruni
अंदला ə̃d̪əla
अंदल्लें ə̃d̪əllẽ
अंदल्ल्या ə̃d̪əllja
अंदाज ə̃d̪adʒə
अंदाधुंदी ə̃d̪ad̪ʰũd̪i
अंदाधुंदींतल्यान ə̃d̪ad̪ʰũd̪ĩt̪əljanə
अंदिली ə̃d̪ili
अंदू ə̃d̪u
अंदूं ə̃d̪ũ
अंदूंच ə̃d̪ũtʃə
अंदूंची ə̃d̪ũtʃi
अंदूंचीच ə̃d̪ũtʃitʃə
अंदूंचे ə̃d̪ũtʃe
अंदूंचें ə̃d̪ũtʃẽ
अंदूंचो ə̃d̪ũtʃo
अंदूंच्या ə̃d̪ũtʃja
अंदूंच्यान ə̃d̪ũtʃjanə
अंदूंताका ə̃d̪ũt̪aka
अंदूंय ə̃d̪ũjə
अंदून ə̃d̪unə
अंद्र ə̃d̪rə
अंधविस्वास ə̃d̪ʰəʋisʋasə
अंधश्रद्धा ə̃d̪ʰəʃrəd̪d̪ʰa
अंधश्रद्धां ə̃d̪ʰəʃrəd̪d̪ʰã
अंधश्रद्धांक ə̃d̪ʰəʃrəd̪d̪ʰãkə
अंधश्रद्धांचो ə̃d̪ʰəʃrəd̪d̪ʰãtʃo
अंधश्रद्धेआड ə̃d̪ʰəʃrəd̪d̪ʰeaɖə
अंधश्रद्धेत ə̃d̪ʰəʃrəd̪d̪ʰet̪ə
अंधश्रध्देचें ə̃d̪ʰəʃrəd̪ʰd̪etʃẽ
अंबाती ə̃bat̪i
अंबानी ə̃bani
अंबिका ə̃bika
अंमल ə̃mələ
अंमलबजावणी ə̃mələbədʒaʋəɳi
अंमलबजावणे ə̃mələbədʒaʋəɳe
अंमलबजावणेंत ə̃mələbədʒaʋəɳẽt̪ə
अंमलबजावणेचो ə̃mələbədʒaʋəɳetʃo
अंमलांत ə̃məlãt̪ə
अंमलात ə̃məlat̪ə
अंमली ə̃məli
अंश ə̃ʃə
अंशवापरून ə̃ʃəʋapərunə
अंशीं ə̃ʃĩ
अकबर əkəbərə
अकबरान əkəbəranə
अकमल əkəmələ
अकमला əkəməla
अकमलाक əkəməlakə
अकराव्या əkəraʋja
अकले əkəle
अकल्पीत əkəlpit̪ə
अकस्मात əkəsmat̪ə
अकादमी əkad̪əmi
अकादमींत əkad̪əmĩt̪ə
अकादमीक əkad̪əmikə
अकादमीची əkad̪əmitʃi
अकादमीचे əkad̪əmitʃe
अकादमीचें əkad̪əmitʃẽ
अकादमीचेर əkad̪əmitʃerə
अकादमीचो əkad̪əmitʃo
अकादमीच्या əkad̪əmitʃja
अकादमीन əkad̪əminə
अकादमीय əkad̪əmijə
अकादम्यांचो əkad̪əmjãtʃo
अकादेमी əkad̪emi
अकादेमीक əkad̪emikə
अकादेमीची əkad̪emitʃi
अकादेमीचे əkad̪emitʃe
अकादेमीचें əkad̪emitʃẽ
अकादेमीचो əkad̪emitʃo
अकादेमीच्या əkad̪emitʃja
अकादेमीन əkad̪eminə
अकार्यक्षम əkarjəkʂəmə
अकार्यक्षमता əkarjəkʂəmət̪a
अकार्यक्षमतेचेर əkarjəkʂəmət̪etʃerə
अकाल əkalə
अकाली əkali
अकालीं əkalĩ
अकावंट əkaʋə̃ʈə
अकावंट्टांची əkaʋə̃ʈʈãtʃi
अकॅडॅमीक əkɛɖɛmikə
अक्कल əkkələ
अक्कलकोट əkkələkoʈə
अक्रम əkrəmə
अक्रमान əkrəmanə
अक्रिस्ती əkrist̪i
अक्षता əkʂət̪a
अक्षतांची əkʂət̪ãtʃi
अक्षतांनी əkʂət̪ãni
अक्षम्य əkʂəmjə
अक्षय əkʂəjə
अक्षर əkʂərə
अक्षरय əkʂərəjə
अक्षरशत्रू əkʂərəʃət̪ru
अक्षरशा əkʂərəʃa
अक्षरां əkʂərã
अक्षरांनी əkʂərãni
अक्सासाई əksasai:
अखंड əkʰə̃ɖə
अखंडतायेक əkʰə̃ɖət̪ajekə
अखंडपणान əkʰə̃ɖəpəɳanə
अखंद əkʰə̃d̪ə
अखत्यारींत əkʰət̪jarĩt̪ə
अखादमीचें əkʰad̪əmitʃẽ
अखिल əkʰilə
अखिलेश əkʰileʃə
अखेरे əkʰere
अखेरेक əkʰerekə
अख्खें əkʰkʰẽ
अख्खो əkʰkʰo
अख्ख्या əkʰkʰja
अख्तर əkʰt̪ərə
अगडबंब əgəɖəbə̃bə
अगतीक əgət̪ikə
अगबाई əgəbai:
अगर्याा əgərja
अग्निदिव्य əgnid̪iʋjə
अग्निशामक əgniʃaməkə
अग्निहोत्रांची əgniɦot̪rãtʃi
अग्निहोत्रांत əgniɦot̪rãt̪ə
अग्नी əgni
अग्नीक əgnikə
अग्नीपरिक्षा əgnipərikʂa
अग्नीहोत्र əgniɦot̪rə
अग्नीहोत्रा əgniɦot̪ra
अग्नीहोत्रांत əgniɦot̪rãt̪ə
अग्नीहोत्राक əgniɦot̪rakə
अग्नीहोत्राची əgniɦot̪ratʃi
अग्नीहोत्राचें əgniɦot̪ratʃẽ
अग्नीहोत्रान əgniɦot̪ranə
अग्रलेख əgrəlekʰə
अग्रलेखा əgrəlekʰa
अग्रवान əgrəʋanə
अग्रि əgri
अग्री əgri
अग्रीक əgrikə
अघिकाऱ्यांनी əgʱikajãni
अघिकृतपणान əgʱikxt̪əpəɳanə
अघोरी əgʱori
अचकीत ətʃəkit̪ə
अचळय ətʃəɭəjə
अचूक ətʃukə
अचूतकतायेचेर ətʃut̪əkət̪ajetʃerə
अच्छेव ətʃtʃʰeʋə
अच्छेवा ətʃtʃʰeʋa
अच्छेवांत ətʃtʃʰeʋãt̪ə
अच्छेवाक ətʃtʃʰeʋakə
अच्युतराव ətʃjut̪əraʋə
अजगांवकाराच्या ədʒəgãʋəkaratʃja
अजपाची ədʒəpatʃi
अजमल ədʒəmələ
अजमेर ədʒəmerə
अजय ədʒəjə
अजयाक ədʒəjakə
अजयाची ədʒəjatʃi
अजाण ədʒaɳə
अजाप ədʒapə
अजापच ədʒapətʃə
अजापचमत्कार ədʒapətʃəmət̪karə
अजापलें ədʒapəlẽ
अजापलो ədʒapəlo
अजापहातूंतलें ədʒapəɦat̪ũt̪əlẽ
अजापाची ədʒapatʃi
अजापाचें ədʒapatʃẽ
अजापाचो ədʒapatʃo
अजापान ədʒapanə
अजापीत ədʒapit̪ə
अजापूच ədʒaputʃə
अजापूय ədʒapujə
अजारेंकाक ədʒarẽkakə
अजित ədʒit̪ə
अजितच्या ədʒit̪ətʃja
अजितबाबा ədʒit̪əbaba
अजितबाबाची ədʒit̪əbabatʃi
अजितबाबान ədʒit̪əbabanə
अजिताभाचो ədʒit̪abʱatʃo
अजिबात ədʒibat̪ə
अजी ədʒi
अजीत ədʒit̪ə
अजीब ədʒibə
अजीर्ण ədʒirɳə
अजुणें ədʒuɳẽ
अजुनय ədʒunəjə
अजुनूय ədʒunujə
अजून ədʒunə
अजूनय ədʒunəjə
अजेंटिनाची ədʒẽʈinatʃi
अजेंडा ədʒẽɖa
अजेंडाचे ədʒẽɖatʃe
अज्ञात ədʒɲat̪ə
अज्ञातवास ədʒɲat̪əʋasə
अज्ञान ədʒɲanə
अज्ञानमुक्त ədʒɲanəmukt̪ə
अज्ञाना ədʒɲana
अज्ञानांत ədʒɲanãt̪ə
अज्ञानांतल्यान ədʒɲanãt̪əljanə
अज्ञानाक ədʒɲanakə
अज्ञानाचे ədʒɲanatʃe
अज्ञानाच्या ədʒɲanatʃja
अज्ञानान ədʒɲananə
अज्ञानी ədʒɲani
अज्ञेयवादी ədʒɲejəʋad̪i
अज्रंवर ədʒrə̃ʋərə
अझगर ədʒʱəgərə
अझरुद्दीन ədʒʱərud̪d̪inə
अझलन ədʒʱələnə
अझलनशाह ədʒʱələnəʃaɦə
अझहरकाक ədʒʱəɦərəkakə
अझहराक ədʒʱəɦərakə
अझहरान ədʒʱəɦəranə
अझहरुद्दीनान ədʒʱəɦərud̪d̪inanə
अझहरूद्दीन ədʒʱəɦərud̪d̪inə
अट əʈə
अटंगी əʈə̃gi
अटंगीं əʈə̃gĩ
अटंग्या əʈə̃gja
अटक əʈəkə
अटकसत्रा əʈəkəsət̪ra
अटके əʈəke
अटल əʈələ
अटलजी əʈələdʒi
अटलजींच्या əʈələdʒĩtʃja
अटलांटा əʈəlãʈa
अटाला əʈala
अटितटीची əʈit̪əʈitʃi
अटी əʈi
अट्टहास əʈʈəɦasə
अट्टहासांत əʈʈəɦasãt̪ə
अठरा əʈʰəra
अठ्ठावन əʈʰʈʰaʋənə
अठ्ठावीस əʈʰʈʰaʋisə
अठ्ठे əʈʰʈʰe
अडकलां əɖəkəlã
अडकल्या əɖəkəlja
अडकल्यात əɖəkəljat̪ə
अडकल्ली əɖəkəlli
अडकल्लो əɖəkəllo
अडकल्ल्या əɖəkəllja
अडकून əɖəkunə
अडचण əɖətʃəɳə
अडचणी əɖətʃəɳi
अडचणीं əɖətʃəɳĩ
अडचणींक əɖətʃəɳĩkə
अडचणींचे əɖətʃəɳĩtʃe
अडचणींचेर əɖətʃəɳĩtʃerə
अडचणींत əɖətʃəɳĩt̪ə
अडचणीक əɖətʃəɳikə
अडचणीचे əɖətʃəɳitʃe
अडचणीचेर əɖətʃəɳitʃerə
अडचल्ल्यांक əɖətʃəlljãkə
अडटा əɖəʈa
अडना əɖəna
अडलां əɖəlã
अडल्यात əɖəljat̪ə
अडवा əɖəʋa
अडवाणी əɖəʋaɳi
अडवाणीं əɖəʋaɳĩ
अडवाणींक əɖəʋaɳĩkə
अडवाणींची əɖəʋaɳĩtʃi
अडवाणींचे əɖəʋaɳĩtʃe
अडवाणींचें əɖəʋaɳĩtʃẽ
अडवाणींचेर əɖəʋaɳĩtʃerə
अडवाणींचो əɖəʋaɳĩtʃo
अडवाणींच्या əɖəʋaɳĩtʃja
अडवाणीक əɖəʋaɳikə
अडवाणीकय əɖəʋaɳikəjə
अडवाणीच əɖəʋaɳitʃə
अडवाणीची əɖəʋaɳitʃi
अडवाणीचे əɖəʋaɳitʃe
अडवाणीचें əɖəʋaɳitʃẽ
अडवाणीच्या əɖəʋaɳitʃja
अडवाणीन əɖəʋaɳinə
अडवानीची əɖəʋanitʃi
