आंवयन ãvɨjn ãvəjən
आगो ago ago
आजून ad͡zun ad͡zun
आडसरां aɖsərã aɖəsərã
आनी ani ani
आनीक anik anik
आपले aple apəle
आपल्या aplja apəlja
आमकां amkã aməkã
आमचेर amt͡ʃer amət͡ʃer
आयज ajd͡z ajəd͡z
आरे are are
आवयक avəɨk avəjək
आशिया aʃija aʃija
आसा asa asa
आसात asat asat
इल्लें illɛ̃ illẽ
इशेटांक iʃʈãk iʃeʈãk
उडयल्यांत uɖɨjljãt uɖəjəljãt
उतरां utrã utərã
उदकांत udkãt udəkãt
उपाय upaj upaj
उबीं ubĩ ubĩ
उसळून usɭun usəɭun
एक ek ek
एका ɛka eka
ऑफिसांतल्यान ɔfisãtljan ɔfisãtəljan
ओंठाक ɔ̃ʈʰak õʈʰak
ओग o:g og
कपड्याची kəpɖjat͡ʃi kəpəɖjat͡ʃi
कर kər kər
करूंक kərũk kərũk
कसलो kəslɔ kəsəlo
कांसवाच्या kãsvat͡ʃa kãsəvat͡ʃja
काजुची kad͡zut͡ʃi kad͡zut͡ʃi
काड kaɖ kaɖ
कानार kanar kanar
कितली kitli kitəli
कितें kitɛ̃ kitẽ
कित्याक kitjak kitjak
की ki ki
कुट्ट kuʈʈ kuʈʈ
कुडींत kuɖĩt kuɖĩt
कूंय kũ:j kũj
कूय ku:j kuj
केंस kẽ:s kẽs
केदे kɛdɛ kede
केदें kɛdɛ̃ kedẽ
केन्ना kɛnnã kenna
केन्नाय kɛnnãj kennaj
केलें kɛlɛ̃ kelẽ
केलो kɛlɔ kelo
केस ke:s kes
केितलेशेच kitlɛʃɛt͡s kitəleʃet͡ʃ
कोंकणी kõkɳi kõkəɳi
कोको kɔkɔ koko
खंडांतलो kʰəɳɖãtlɔ kʰə̃ɖãtəlo
खंय kʰə̃j kʰə̃j
खंयच kʱãjt͡s kʰə̃jət͡ʃ
खतखतें kʰətkʰətɛ̃ kʰətəkʰətẽ
खावंक kʰãʋũk kʰavə̃k
खूंट kʰũʈ kʰũʈ
खूट kʰu:ʈ kʰuʈ
खूब kʰub kʰub
गंव gɨ̃ʋ gə̃v
गणपतान gəɳpətan gəɳəpətan
गवो gəʋɔ gəvo
गाडी gaɖi gaɖi
गाय gaj gaj
गिरणीर girɳir girəɳir
गेल्ल्या gɛllja gellja
गोंयांत gɔjãt gõjãt
गोरवां gorvã gorəvã
घरा gʱəra gʱəra
घातला gʱatla gʱatəla
घायाची gʱajat͡ʃi gʱajat͡ʃi
घाल gʱal gʱal
घोंगो gʱɔ̃ŋgɔ gʱõgo
घोगो gʱɔgʱɔ gʱogo
चड t͡səɖ t͡ʃəɖ
चाळोवपाची t͡saɭoʋpat͡ʃi t͡ʃaɭovəpat͡ʃi
चोराक t͡sɔrak t͡ʃorak
छापखानो t͡ʃʰap'kʰanɔ tʃʰapəkʰano
जनावरां d͡zənavərã d͡zənavərã
जनेलाचेर d͡zənɛlat͡ʃer d͡zənelat͡ʃer
जाग d͡zag d͡zag
जायत d͡zajt d͡zajət
जाले d͡zalɛ d͡zale
जाल्यात d͡zaljat d͡zaljat
जाल्यार d͡zaljar d͡zaljar
जाव d͡zaw d͡zav
जिती d͡ʒiti d͡ziti
ज्ञानपीठ njanpiʈʰ d͡zɲanəpiʈʰ
झर d͡zʱɨr d͡zʱər
झाड d͡zʱaɖ d͡zʱaɖ
झाडां d͡zʱaɖã d͡zʱaɖã
झिलींनी d͡ʒʱilĩni d͡zʱilĩni
तकले təkle təkəle
तय tɨj təj
तर tər tər
तरी təri təri
तसो təsɔ təso
तांकां tãŋkã tãkã
तांगेर taŋger tãger
तांची tãɲt͡ʃi tãt͡ʃi
तांचीं tãɲt͡ʃĩ tãt͡ʃĩ
तांबडी tamɖi tãbəɖi
ताका taka taka
ताचे tat͡ʃe tat͡ʃe
ताचें tat͡ʃɛ̃ tat͡ʃẽ
ताचो tat͡sɔ tat͡ʃo
ताच्या tat͡ʃa tat͡ʃja
ताणें taɳɛ̃ taɳẽ
ताळ्यांत taɭjãt taɭjãt
तिचे tit͡ʃɛ tit͡ʃe
तिणें tiɳɛ̃ tiɳẽ
ती ti: ti
तीं tĩ: tĩ
तुका tuka tuka
तुजी tud͡ʒi tud͡zi
तुजें tud͡ʒɛ̃ tud͡zẽ
तुमकां tumkã tuməkã
तुवें tuvɛ̃ tuvẽ
तूं tũ tũ
तें tɛ̃ tẽ
तेन्ना tɛnnã tenna
तो tɔ to
तोंडांत tɔɳãt tõɖãt
तोंडान tɔɳan tõɖan
तोंडार tɔɳar tõɖar
त्या tja tja
थंय tʰə̃j tʰə̃j
दर्यांत dər'jãt dərjãt
दळून dɨɭun dəɭun
दवरिनासतना dəvrinastəna dəvərinasətəna
दवरिल्लो dəvrillɔ dəvərillo
दामोदर damodər damodər
दिवाळेक divaɭek divaɭek
दिसान disan disan
दी di di
दीस dis dis
दुसऱ्यांक dusrjãk dusəjãk
देंव dɛ̃ʋ dẽv
देखून dekʰun dekʰun
देव dɛʋ dev
दोणे dɔɳɛ̃ doɳe
दोन don don
धवळटा dʰəvəɭʈa dʰəvəɭəʈa
नरकासूर nərkasur nərəkasur
नवीन nəvin nəvin
ना na na
नात nãt nat
नाल्लाची nallat͡ʃi nallat͡ʃi
नितळ nitəɭ nitəɭ
निमणी nimɳi niməɳi
नुस्तें nustɛ̃ nustẽ
न्हय nʱɨ̃j nhəj
पडलो pəɭɭɔ pəɖəlo
पयलो pɨjlɔ pəjəlo
परत pərət pərət
पावस paʋs pavəs
पावसाचो paʋsat͡sɔ pavəsat͡ʃo
पिता pita pita
पुरस्कार purəskar purəskar
पुलिसांनी pulisãni pulisãni
पुस्तक pustək pustək
पुस्तकांचेर pustəkãɲt͡ʃer pustəkãt͡ʃer
पूण puɳ puɳ
पेजेचें ped͡ʒet͡ʃɛ̃ ped͡zet͡ʃẽ
पोंत pɔ̃:t põt
पोटांत pɔʈãt poʈãt
पोती poti poti
पोय po:j poj
प्रभावी prəbʱavi prəbʱavi
प्राणवाय praɳvaj praɳəvaj
प्रियान prijan prijan
फळे fəɭɛ fəɭe
