आंवयन ãvɨjn ãvəjən
आडसरां aɖsərã aɖəsərã
आपले aple apəle
आपल्या aplja apəlja
आमकां amkã aməkã
आमचेर amt͡ʃer amət͡ʃer
आयज ajd͡z ajəd͡z
आवयक avəɨk avəjək
इल्लें illɛ̃ illẽ
इशेटांक iʃʈãk iʃeʈãk
उडयल्यांत uɖɨjljãt uɖəjəljãt
उतरां utrã utərã
उदकांत udkãt udəkãt
उसळून usɭun usəɭun
एका ɛka eka
ऑफिसांतल्यान ɔfisãtljan ɔfisãtəljan
ओंठाक ɔ̃ʈʰak õʈʰak
ओग o:g og
कपड्याची kəpɖjat͡ʃi kəpəɖjat͡ʃi
कसलो kəslɔ kəsəlo
कांसवाच्या kãsvat͡ʃa kãsəvat͡ʃja
कितली kitli kitəli
कितें kitɛ̃ kitẽ
कूंय kũ:j kũj
कूय ku:j kuj
केंस kẽ:s kẽs
केदे kɛdɛ kede
केदें kɛdɛ̃ kedẽ
केन्ना kɛnnã kenna
केन्नाय kɛnnãj kennaj
केलें kɛlɛ̃ kelẽ
केलो kɛlɔ kelo
केस ke:s kes
केितलेशेच kitlɛʃɛt͡s kitəleʃet͡ʃ
कोंकणी kõkɳi kõkəɳi
कोको kɔkɔ koko
खंडांतलो kʰəɳɖãtlɔ kʰə̃ɖãtəlo
खंयच kʱãjt͡s kʰə̃jət͡ʃ
खतखतें kʰətkʰətɛ̃ kʰətəkʰətẽ
खावंक kʰãʋũk kʰavə̃k
खूट kʰu:ʈ kʰuʈ
गंव gɨ̃ʋ gə̃v
गणपतान gəɳpətan gəɳəpətan
गवो gəʋɔ gəvo
गिरणीर girɳir girəɳir
गेल्ल्या gɛllja gellja
गोंयांत gɔjãt gõjãt
गोरवां gorvã gorəvã
घातला gʱatla gʱatəla
घोंगो gʱɔ̃ŋgɔ gʱõgo
घोगो gʱɔgʱɔ gʱogo
चड t͡səɖ t͡ʃəɖ
चाळोवपाची t͡saɭoʋpat͡ʃi t͡ʃaɭovəpat͡ʃi
चोराक t͡sɔrak t͡ʃorak
छापखानो t͡ʃʰap'kʰanɔ tʃʰapəkʰano
जनेलाचेर d͡zənɛlat͡ʃer d͡zənelat͡ʃer
जायत d͡zajt d͡zajət
जाले d͡zalɛ d͡zale
जाव d͡zaw d͡zav
जिती d͡ʒiti d͡ziti
ज्ञानपीठ njanpiʈʰ d͡zɲanəpiʈʰ
झर d͡zʱɨr d͡zʱər
झिलींनी d͡ʒʱilĩni d͡zʱilĩni
तकले təkle təkəle
तय tɨj təj
तसो təsɔ təso
तांकां tãŋkã tãkã
तांगेर taŋger tãger
तांची tãɲt͡ʃi tãt͡ʃi
तांचीं tãɲt͡ʃĩ tãt͡ʃĩ
तांबडी tamɖi tãbəɖi
ताचें tat͡ʃɛ̃ tat͡ʃẽ
ताचो tat͡sɔ tat͡ʃo
ताच्या tat͡ʃa tat͡ʃja
ताणें taɳɛ̃ taɳẽ
तिचे tit͡ʃɛ tit͡ʃe
तिणें tiɳɛ̃ tiɳẽ
ती ti: ti
तीं tĩ: tĩ
तुजी tud͡ʒi tud͡zi
तुजें tud͡ʒɛ̃ tud͡zẽ
तुमकां tumkã tuməkã
तुवें tuvɛ̃ tuvẽ
तें tɛ̃ tẽ
