अजय əd͡zəj
आं ã
आंवंय ãvə̃j
आंवयन ãvəjən
आगो ago
आग्नेल agnel
आजून ad͡zun
आडसरां aɖəsərã
आतां atã
आनी ani
आनीक anik
आपआपल्या apəapəlja
आपय apəj
आपले apəle
आपल्या apəlja
आमकां aməkã
आमचेर amət͡ʃer
आयकतां ajəkətã
आयज ajəd͡z
आयला ajəla
आयली ajəli
आयल्या ajəlja
आयिल्लो ajillo
आरे are
आवयक avəjək
आशिया aʃija
आशिल्लो aʃillo
आसा asa
आसां asã
आसात asat
इल्लें illẽ
इशेटांक iʃeʈãk
उडटात uɖəʈat
उडयली uɖəjəli
उडयल्यांत uɖəjəljãt
उतरां utərã
उदकांत udəkãt
उपाय upaj
उबीं ubĩ
उसळून usəɭun
एक ek
एका eka
एसी esi
ऑफिसांतल्यान ɔfisãtəljan
ओंक õk
ओंठाक õʈʰak
ओग og
कपड्याची kəpəɖjat͡ʃi
कर kər
करता kərəta
करूंक kərũk
कसलो kəsəlo
कांसवाच्या kãsəvat͡ʃja
काजुची kad͡zut͡ʃi
काड kaɖ
कानार kanar
काय kaj
कितली kitəli
कितें kitẽ
कित्याक kitjak
की ki
कुट्ट kuʈʈ
कुडींत kuɖĩt
कूंय kũj
कूय kuj
केंस kẽs
केदे kede
केदें kedẽ
केन्ना kenna
केन्नाय kennaj
केलें kelẽ
केलो kelo
केस kes
केितलेशेच kitəleʃet͡ʃ
कोंकणी kõkəɳi
कोंको kõko
कोको koko
कोण koɳ
खंडांतलो kʰə̃ɖãtəlo
खंय kʰə̃j
खंयच kʰə̃jət͡ʃ
खतखतें kʰətəkʰətẽ
खाता kʰata
खाले kʰale
खालें kʰalẽ
खावंक kʰavə̃k
खूंट kʰũʈ
खूट kʰuʈ
खूब kʰub
गंव gə̃v
गणपतान gəɳəpətan
गवो gəvo
गाडी gaɖi
गाय gaj
गिरणीर girəɳir
गेलां gelã
गेलीं gelĩ
गेलो gelo
गेलों gelõ
गेल्या gelja
गेल्ल्या gellja
गो go
गोंयांत gõjãt
गोरवां gorəvã
घरा gʱəra
घातला gʱatəla
घातल्या gʱatəlja
घायाची gʱajat͡ʃi
घाल gʱal
घोंगो gʱõgo
घोगो gʱogo
चड t͡ʃəɖ
चाळोवपाची t͡ʃaɭovəpat͡ʃi
चोराक t͡ʃorak
छापखानो tʃʰapəkʰano
जनावरां d͡zənavərã
जनेलाचेर d͡zənelat͡ʃer
जाग d͡zag
जाय d͡zaj
जायत d͡zajət
जालीं d͡zalĩ
जाले d͡zale
जालो d͡zalo
जाल्यात d͡zaljat
जाल्यार d͡zaljar
जाल्लो d͡zallo
जाव d͡zav
जावं d͡zavə̃
जिती d͡ziti
ज्ञानपीठ d͡zɲanəpiʈʰ
झर d͡zʱər
झाड d͡zʱaɖ
झाडां d͡zʱaɖã
झिलींनी d͡zʱilĩni
तकले təkəle
तय təj
तर tər
तरी təri
तसो təso
तांकां tãkã
तांगेर tãger
तांची tãt͡ʃi
तांचीं tãt͡ʃĩ
तांबडी tãbəɖi
ताका taka
ताचे tat͡ʃe
ताचें tat͡ʃẽ
ताचो tat͡ʃo
ताच्या tat͡ʃja
ताणें taɳẽ
ताळ्यांत taɭjãt
तिचे tit͡ʃe
तिणें tiɳẽ
ती ti
तीं tĩ
तुका tuka
तुजी tud͡zi
तुजें tud͡zẽ
तुमकां tuməkã
तुवें tuvẽ
तूं tũ
तें tẽ
तेन्ना tenna
तो to
तोंडांत tõɖãt
तोंडान tõɖan
तोंडार tõɖar
त्या tja
थंय tʰə̃j
दर्यांत dərjãt
दळून dəɭun
दवरलां dəvərəlã
दवरिनासतना dəvərinasətəna
दवरिल्लो dəvərillo
दामोदर damodər
दितलो ditəlo
दितात ditat
दिली dili
दिवाळेक divaɭek
दिसता disəta
दिसान disan
दी di
दीस dis
दुसऱ्यांक dusəjãk
देंव dẽv
देखून dekʰun
देव dev
देवा deva
दोणे doɳe
दोन don
धरलो dʰərəlo
धवळटा dʰəvəɭəʈa
नरकासूर nərəkasur
नवीन nəvin
ना na
नाका naka
नात nat
नाल्लाची nallat͡ʃi
नासलें nasəlẽ
नितळ nitəɭ
निमणी niməɳi
नुस्तें nustẽ
न्हय nhəj
न्ही nhi
पडटलो pəɖəʈəlo
पडटा pəɖəʈa
पडला pəɖəla
पडलो pəɖəlo
पडल्यात pəɖəljat
